Time, Station, Frequencies, Comments
00:00, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 18Z SURFACE ANALYSIS
00:12, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 18Z SURFACE PROGNOSIS (24HR)
00:24, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 18Z PRECIPITATION AND VISIBILITY (12HR)
00:36, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 18Z PRECIPITATION AND VISIBILITY (24HR)
00:48, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 18Z SURFACE ANALYSIS
01:00, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 18Z SURFACE PROGNOSIS (24HR)
01:12, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 18Z SWELL HEIGHT AND DIRECTION (48HR)
01:24, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 18Z SWELL HEIGHT AND DIRECTION (72HR)
01:36, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, OCEAN FRONTS
01:48, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 18Z SWELL HEIGHT AND DIRECTION (24HR)
02:00, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 18Z SURFACE ANALYSIS
02:12, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z SEA SURFACE TEMPERATURE
02:24, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 18Z SURFACE PROGNOSIS (24HR)
02:36, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z SURFACE ANALYSIS
03:00, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z SURFACE ANALYSIS
03:24, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 18Z 10m WIND (24HR)
03:36, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z ANPS PROGNOSIS (24HR)
03:48, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z ANPS PROGNOSIS (72HR)
04:00, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z SURFACE ANALYSIS
04:24, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 18Z 10m WIND (24HR)
04:30, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, SURFACE ANALYSIS NORTH ATLANTIC / EUROPE
04:36, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z SURFACE PROGNOSIS (24HR)
04:48, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 18Z 10m WIND (48HR)
05:00, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z SURFACE ANALYSIS
05:12, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, 36HR FORECAST SURFACE PRESSURE
05:12, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z SURFACE PROGNOSIS (24HR)
05:24, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z SURFACE PROGNOSIS (48HR)
05:25, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, SURFACE PRESSURE ANALYSIS
05:48, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 06Z GALE WARNING
06:12, GYA Northwood, 11086.5 kHz, 00Z SURFACE ANALYSIS
06:12, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z SURFACE ANALYSIS
06:24, GYA Northwood, 11086.5 kHz, 00Z SURFACE PROGNOSIS (24HR)
06:24, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z SURFACE PROGNOSIS (24HR)
06:36, GYA Northwood, 11086.5 kHz, 00Z SURFACE ANALYSIS
06:36, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z SURFACE ANALYSIS
06:38, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, INFORMATION OF TROPICAL STORMS: NORTH ATLANTIC
06:48, GYA Northwood, 11086.5 kHz, 00Z SURFACE PROGNOSIS (24HR)
06:48, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z SURFACE PROGNOSIS (24HR)
06:51, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, 12HR/24HR 500hPa H+T - SURFACE PRESSURE
07:00, GYA Northwood, 11086.5 kHz, 00Z SURFACE ANALYSIS
07:00, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z SURFACE ANALYSIS
07:04, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, 12HR/24HR 850hPa H+T - 700hPa RELATIVE HUMIDITY
07:12, GYA Northwood, 11086.5 kHz, 00Z SURFACE PROGNOSIS (24HR)
07:12, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z SURFACE PROGNOSIS (24HR)
07:17, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, REBROADCAST OF 0512
07:24, GYA Northwood, 11086.5 kHz, 00Z SURFACE PROGNOSIS (48HR)
07:24, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z SURFACE PROGNOSIS (48HR)
07:30, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, 48HR FORECAST SURFACE PRESSURE
07:36, GYA Northwood, 11086.5 kHz, 00Z SURFACE PROGNOSIS (72HR)
07:36, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z SURFACE PROGNOSIS (72HR)
07:43, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, 60HR FORECAST SURFACE PRESSURE
07:48, GYA Northwood, 11086.5 kHz, 00Z SURFACE PROGNOSIS (96HR)
07:48, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z SURFACE PROGNOSIS (96HR)
08:00, GYA Northwood, 11086.5 kHz, 00Z SURFACE PROGNOSIS (120HR)
08:00, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z SURFACE PROGNOSIS (120HR)
08:04, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, 84HR FORECAST SURFACE PRESSURE
08:12, GYA Northwood, 11086.5 kHz, 00Z SURFACE PROGNOSIS (48HR)
08:12, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z SURFACE PROGNOSIS (48HR)
08:17, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, 108HR FORECAST SURFACE PRESSURE
08:24, GYA Northwood, 11086.5 kHz, 00Z PRECIPITATION AND VISIBILITY (12HR)
08:24, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z PRECIPITATION AND VISIBILITY (12HR)
08:30, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, 24HR FORECAST SIGNIFICANT HEIGHT OF COMBINED WIND WAVES AND SWELL - WIND 10m
08:36, GYA Northwood, 11086.5 kHz, 00Z PRECIPITATION AND VISIBILITY (24HR)
08:36, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z PRECIPITATION AND VISIBILITY (24HR)
08:42, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, 48HR FORECAST SIGNIFICANT HEIGHT OF COMBINED WIND WAVES AND SWELL - WIND 10m
08:48, GYA Northwood, 11086.5 kHz, 00Z SURFACE PROGNOSIS (24HR)
08:48, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z SURFACE PROGNOSIS (24HR)
08:54, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, 72HR FORECAST SIGNIFICANT HEIGHT OF COMBINED WIND WAVES AND SWELL - WIND 10m
